#E[MeV/u] dE/dx[MeVcm2/mg] range[mg/cm2] rangestragg.[mg/cm2]
0.0010000 882.5417805 0.0000000 0.0000000
0.0010233 883.6930710 0.0002638 0.0000516
0.0010471 884.8812480 0.0005333 0.0000738
0.0010715 886.1078014 0.0008088 0.0000913
0.0010965 887.3735654 0.0010902 0.0001066
0.0011220 888.6802086 0.0013778 0.0001204
0.0011482 890.0289823 0.0016717 0.0001333
0.0011749 891.4212571 0.0019719 0.0001456
0.0012023 892.8582845 0.0022787 0.0001573
0.0012303 894.3419118 0.0025921 0.0001686
0.0012589 895.8732711 0.0029122 0.0001797
0.0012882 897.4540906 0.0032393 0.0001905
0.0013183 899.0858005 0.0035733 0.0002011
0.0013490 900.7698906 0.0039145 0.0002116
0.0013804 902.5085060 0.0042630 0.0002221
0.0014125 904.3028387 0.0046189 0.0002324
0.0014454 906.1547954 0.0049824 0.0002427
0.0014791 908.0661640 0.0053536 0.0002529
0.0015136 910.0384938 0.0057326 0.0002631
0.0015488 912.0738109 0.0061195 0.0002733
0.0015849 914.1737837 0.0065146 0.0002836
0.0016218 916.3403193 0.0069180 0.0002938
0.0016596 918.5752649 0.0073297 0.0003041
0.0016982 920.8804082 0.0077501 0.0003144
0.0017378 923.2575369 0.0081791 0.0003248
0.0017783 925.7086772 0.0086169 0.0003352
0.0018197 928.2353188 0.0090638 0.0003457
0.0018621 930.8397261 0.0095198 0.0003562
0.0019055 933.5233293 0.0099850 0.0003668
0.0019498 936.2878566 0.0104598 0.0003775
0.0019953 939.1350360 0.0109441 0.0003883
0.0020417 942.0575976 0.0114382 0.0003992
0.0020893 945.0784240 0.0119423 0.0004101
0.0021380 948.1842863 0.0124564 0.0004212
0.0021878 951.3778659 0.0129807 0.0004323
0.0022387 954.6606526 0.0135154 0.0004435
0.0022909 958.0352685 0.0140607 0.0004549
0.0023442 961.5032628 0.0146167 0.0004663
0.0023988 965.0670193 0.0151835 0.0004779
0.0024547 968.7283255 0.0157614 0.0004896
0.0025119 972.4892673 0.0163505 0.0005013
0.0025704 976.3515130 0.0169509 0.0005132
0.0026303 980.3167910 0.0175629 0.0005252
0.0026915 984.3866504 0.0181866 0.0005373
0.0027542 988.5626407 0.0188221 0.0005496
0.0028184 992.8458941 0.0194697 0.0005619
0.0028840 997.2373640 0.0201295 0.0005744
0.0029512 1001.7380635 0.0208016 0.0005870
0.0030200 1006.3482309 0.0214862 0.0005997
0.0030903 1011.0552927 0.0221836 0.0006125
0.0031623 1015.9099008 0.0228939 0.0006255
0.0032359 1020.8777310 0.0236171 0.0006386
0.0033113 1025.9606903 0.0243536 0.0006518
0.0033884 1031.1610430 0.0251035 0.0006651
0.0034674 1036.4808154 0.0258670 0.0006786
0.0035481 1041.9222717 0.0266442 0.0006921
0.0036308 1047.4876765 0.0274353 0.0007058
0.0037154 1053.1784599 0.0282405 0.0007197
0.0038019 1058.9972440 0.0290599 0.0007336
0.0038905 1064.9456972 0.0298938 0.0007477
0.0039811 1071.0257264 0.0307423 0.0007619
0.0040738 1077.2394770 0.0316057 0.0007762
0.0041687 1083.5881407 0.0324839 0.0007906
0.0042658 1090.0737436 0.0333774 0.0008052
0.0043652 1096.6973583 0.0342861 0.0008199
0.0044668 1103.4610110 0.0352104 0.0008347
0.0045709 1110.3655358 0.0361504 0.0008496
0.0046774 1117.4118863 0.0371062 0.0008647
0.0047863 1124.6012542 0.0380781 0.0008799
0.0048978 1131.9343547 0.0390663 0.0008952
0.0050119 1139.4113069 0.0400708 0.0009106
0.0051286 1147.0325875 0.0410920 0.0009261
0.0052481 1154.7978390 0.0421299 0.0009417
0.0053703 1162.7390020 0.0431849 0.0009575
0.0054954 1170.8190110 0.0442570 0.0009733
0.0056234 1179.0543132 0.0453464 0.0009893
0.0057544 1187.4461003 0.0464534 0.0010054
0.0058884 1195.9963985 0.0475782 0.0010216
0.0060256 1204.7056843 0.0487208 0.0010379
0.0061660 1213.5763415 0.0498816 0.0010543
0.0063096 1222.6088468 0.0510607 0.0010709
0.0064565 1231.8052262 0.0522583 0.0010875
0.0066069 1241.1666717 0.0534746 0.0011042
0.0067608 1250.6950899 0.0547098 0.0011211
0.0069183 1260.3925072 0.0559640 0.0011380
0.0070795 1270.2609494 0.0572376 0.0011550
0.0072444 1280.3032771 0.0585307 0.0011722
0.0074131 1290.5217545 0.0598434 0.0011894
0.0075858 1300.9105420 0.0611761 0.0012068
0.0077625 1311.4765518 0.0625288 0.0012242
0.0079433 1322.2239555 0.0639019 0.0012417
0.0081283 1333.1529913 0.0652955 0.0012593
0.0083176 1344.2643744 0.0667097 0.0012770
0.0085114 1355.5595349 0.0681450 0.0012948
0.0087096 1367.0396646 0.0696014 0.0013127
0.0089125 1378.7063129 0.0710791 0.0013307
0.0091201 1390.5616251 0.0725784 0.0013487
0.0093325 1402.6086998 0.0740995 0.0013669
0.0095499 1414.8513509 0.0756426 0.0013851
0.0097724 1427.2544198 0.0772080 0.0014034
0.0100000 1439.9572296 0.0787958 0.0014218
0.0102329 1452.7892317 0.0804062 0.0014403
0.0104713 1465.7790298 0.0820396 0.0014588
0.0107152 1478.9636891 0.0836962 0.0014774
0.0109648 1492.3894520 0.0853761 0.0014961
0.0112202 1506.1129296 0.0870797 0.0015149
0.0114815 1520.2030086 0.0888069 0.0015338
0.0117490 1534.7427582 0.0905578 0.0015528
0.0120226 1551.3503018 0.0923318 0.0015717
0.0123027 1568.5461238 0.0941270 0.0015906
0.0125893 1586.1156981 0.0959438 0.0016094
0.0128825 1604.0649837 0.0977822 0.0016283
0.0131826 1622.4016083 0.0996423 0.0016471
0.0134896 1641.1421379 0.1015241 0.0016658
0.0138038 1660.2865727 0.1034276 0.0016845
0.0141254 1679.8489759 0.1053529 0.0017031
0.0144544 1699.8376903 0.1073000 0.0017217
0.0147911 1720.2661834 0.1092689 0.0017403
0.0151356 1741.1364812 0.1112596 0.0017587
0.0154882 1762.4655075 0.1132721 0.0017772
0.0158489 1784.2618432 0.1153065 0.0017955
0.0162181 1806.5368107 0.1173627 0.0018138
0.0165959 1829.3022089 0.1194408 0.0018319
0.0169824 1851.6360519 0.1215414 0.0018501
0.0173780 1875.4388033 0.1236642 0.0018681
0.0177828 1899.7659520 0.1258086 0.0018861
0.0181970 1924.6297737 0.1279748 0.0019039
0.0186209 1950.0463578 0.1301627 0.0019217
0.0190546 1976.0265498 0.1323723 0.0019393
0.0194984 2002.5834597 0.1346034 0.0019569
0.0199526 2029.7350838 0.1368561 0.0019743
0.0204174 2057.4928636 0.1391303 0.0019917
0.0208930 2085.8699089 0.1414260 0.0020089
0.0213796 2114.8812365 0.1437431 0.0020260
0.0218776 2144.5454388 0.1460814 0.0020429
0.0223872 2175.1478356 0.1484409 0.0020598
0.0229087 2205.4966148 0.1508218 0.0020765
0.0234423 2237.6958013 0.1532239 0.0020931
0.0239883 2270.7030365 0.1556462 0.0021095
0.0245471 2303.1715726 0.1580893 0.0021258
0.0251189 2333.4030774 0.1605554 0.0021419
0.0257040 2359.2472837 0.1630485 0.0021581
0.0263027 2383.9201771 0.1655730 0.0021743
0.0269153 2409.0316573 0.1681296 0.0021906
0.0275423 2434.5869683 0.1707183 0.0022070
0.0281838 2460.5944529 0.1733395 0.0022233
0.0288403 2487.0715114 0.1759932 0.0022398
0.0295121 2513.9995515 0.1786797 0.0022563
0.0301995 2541.3940669 0.1813993 0.0022728
0.0309030 2569.2531507 0.1841522 0.0022894
0.0316228 2597.5925347 0.1869385 0.0023059
0.0323594 2626.4064983 0.1897585 0.0023226
0.0331131 2655.7057678 0.1926125 0.0023392
0.0338844 2685.4893896 0.1955007 0.0023559
0.0346737 2715.7592708 0.1984232 0.0023726
0.0354813 2746.5180333 0.2013804 0.0023893
0.0363078 2777.7709211 0.2043725 0.0024061
0.0371535 2809.5262769 0.2073998 0.0024228
0.0380189 2841.7681303 0.2104626 0.0024396
0.0389045 2874.5169806 0.2135610 0.0024564
0.0398107 2907.7692524 0.2166954 0.0024732
0.0407380 2941.5216084 0.2198661 0.0024899
0.0416869 2975.7740488 0.2230734 0.0025067
0.0426580 3010.5289572 0.2263175 0.0025235
0.0436516 3045.7915775 0.2295988 0.0025403
0.0446684 3081.5457011 0.2329176 0.0025571
0.0457088 3117.8008625 0.2362743 0.0025739
0.0467735 3154.5644509 0.2396692 0.0025907
0.0478630 3191.8274086 0.2431026 0.0026074
0.0489779 3229.5792476 0.2465750 0.0026242
0.0501187 3267.8123403 0.2500867 0.0026410
0.0512861 3306.5240647 0.2536381 0.0026577
0.0524807 3345.7129907 0.2572297 0.0026745
0.0537032 3385.3853156 0.2608619 0.0026912
0.0549541 3425.5310283 0.2645352 0.0027080
0.0562341 3466.1100839 0.2682500 0.0027247
0.0575440 3507.1508474 0.2720068 0.0027414
0.0588844 3548.6359185 0.2758061 0.0027581
0.0602560 3590.5464665 0.2796486 0.0027748
0.0616595 3632.8684281 0.2835346 0.0027915
0.0630957 3675.5906001 0.2874649 0.0028082
0.0645654 3718.7067852 0.2914401 0.0028249
0.0660693 3762.2253260 0.2954608 0.0028415
0.0676083 3806.0523079 0.2995277 0.0028582
0.0691831 3850.2456527 0.3036413 0.0028749
0.0707946 3894.7727049 0.3078027 0.0028915
0.0724436 3939.6029541 0.3120124 0.0029082
0.0741310 3984.7073201 0.3162712 0.0029249
